circuit,dtype,eta,frac_finite,frac_onehot,fwd_rel_err,label,max_entropy,mean_entropy,n_free,n_lookups_scored,pred_unchanged,pred_v,prune,prune_nz,quant,selector_hit
CKT_0057,f32,2.2393925447569706e-08,1.0,1.0,6.491952647461387e-08,f32,-0.0,0.0,7,931,True,7.55,0.0,False,,1.0
CKT_0057,bf16,0.021979500941480726,1.0,0.9387755102040817,16.07969257042782,bf16,1.6100325899634482,0.05930462002151737,7,931,False,23.95,0.0,False,,0.9441460794844253
CKT_0057,f16,inf,0.0,0.0,inf,f16,-0.0,0.0,7,931,False,0.0,0.0,False,,0.5821697099892589
CKT_0057,f64,1.0,1.0,0.02040816326530612,1.0,per_tensor int8,3.891820298110628,2.950321305027447,7,931,False,0.0,0.0,False,per_tensor_int8,0.5821697099892589
CKT_0057,f64,1.0,1.0,1.0,1.0,per_channel int8,-0.0,0.0,7,931,False,0.0,0.0,False,per_channel_int8,0.28356605800214824
CKT_0057,f64,1.4558366962614307e-19,1.0,1.0,2.7247009925490733e-17,prune 10%,-0.0,0.0,7,931,True,7.55,0.1,False,,1.0
CKT_0057,f64,1.0,1.0,1.0,1.0,prune 10%(nz),-0.0,0.0,7,931,False,0.0,0.1,True,,0.1439312567132116
CKT_0057,f64,1.4558366962614307e-19,1.0,1.0,2.7247009925490733e-17,prune 50%,-0.0,0.0,7,931,True,7.55,0.5,False,,1.0
CKT_0057,f64,1.0,1.0,0.02040816326530612,1.0,prune 50%(nz),3.891820298110628,2.950321305027447,7,931,False,0.0,0.5,True,,0.5821697099892589
CKT_0057,f64,1.4558366962614307e-19,1.0,1.0,2.7247009925490733e-17,prune 90%,-0.0,0.0,7,931,True,7.55,0.9,False,,1.0
CKT_0057,f64,1.0,1.0,0.02040816326530612,1.0,prune 90%(nz),3.891820298110628,2.950321305027447,7,931,False,0.0,0.9,True,,0.5821697099892589
CKT_0076,f64,9.974850276651402e-17,1.0,1.0,3.561559196031606e-16,f64,-0.0,0.0,7,765,True,0.9,0.0,False,,1.0
CKT_0076,f32,3.024537295411917e-08,1.0,1.0,1.8513635878647893e-07,f32,-0.0,0.0,7,765,True,0.9,0.0,False,,1.0
CKT_0076,bf16,0.12173269006217063,1.0,0.9267973856209151,0.7902710374035569,bf16,1.6100325899634482,0.07511714835229825,7,765,False,0.2,0.0,False,,0.9411764705882353
CKT_0076,f16,inf,0.0,0.0,inf,f16,-0.0,0.0,7,765,False,0.0,0.0,False,,0.6300653594771242
CKT_0076,f64,1.0,1.0,0.022222222222222223,1.0,per_tensor int8,3.8066624897703196,2.86942074753616,7,765,False,0.0,0.0,False,per_tensor_int8,0.6300653594771242
CKT_0076,f64,0.9999754456264137,1.0,1.0,0.9999998042378223,per_channel int8,-0.0,0.0,7,765,False,0.0,0.0,False,per_channel_int8,0.2679738562091503
CKT_0076,f64,9.974850276651402e-17,1.0,1.0,3.561559196031606e-16,prune 10%,-0.0,0.0,7,765,True,0.9,0.1,False,,1.0
CKT_0076,f64,1.0,1.0,1.0,1.0,prune 10%(nz),-0.0,0.0,7,765,False,0.0,0.1,True,,0.13071895424836602
CKT_0076,f64,9.974850276651402e-17,1.0,1.0,3.561559196031606e-16,prune 50%,-0.0,0.0,7,765,True,0.9,0.5,False,,1.0
CKT_0076,f64,1.0,1.0,0.022222222222222223,1.0,prune 50%(nz),3.8066624897703196,2.86942074753616,7,765,False,0.0,0.5,True,,0.6300653594771242
