circuit,n_free,kappa,target,truth,v_unrounded,v_pred,err_total,err_quant,err_target,err_solve,passes,knife_edge,n_S,n_clamped
CKT_0111,33,832809.3693123828,36,5.7196,5.719644199739088,5.7,0.019599999999999618,0.01964419973908793,4.4199739088313095e-05,6.483702463810914e-14,True,False,33,0
CKT_0112,19,25865.304318584338,12,11.9984,11.998442938589859,12.0,0.0015999999999998238,0.001557061410141003,4.293858985882082e-05,3.552713678800501e-15,True,False,19,0
CKT_0113,21,42589.89947692621,12,8.995,8.994966431586498,9.0,0.005000000000000782,0.00503356841350211,3.356841350132811e-05,1.7763568394002505e-15,True,False,21,0
CKT_0114,17,21437.23648966762,12,4.9991,4.999086277483658,5.0,0.0008999999999996788,0.0009137225163415863,1.3722516341907465e-05,8.881784197001252e-16,True,False,17,0
CKT_0115,21,256510.29970079337,12,23.6344,23.634363017004077,23.65,0.01559999999999917,0.015636982995921755,3.698299592258536e-05,1.4210854715202004e-14,True,False,21,0
CKT_0116,19,4876.798439682325,12,8.8276,8.827581607879644,8.85,0.02239999999999931,0.02241839212035579,1.8392120356480746e-05,1.7763568394002505e-15,True,False,19,0
CKT_0117,7,16.95660424717395,7,0.0487,0.04866206091271772,0.05,0.0013000000000000025,0.0013379390872822819,3.793908728227935e-05,0.0,True,False,7,0
CKT_0118,8,24.727289678481938,8,3.3037,3.303710419837331,3.3,0.0037000000000002586,0.0037104198373310027,1.041983733074403e-05,4.440892098500626e-16,True,False,8,0
CKT_0119,9,103.32393291736167,7,0.0237,0.023745869817871513,0.0,0.0237,0.023745869817871513,4.5869817871514035e-05,0.0,True,False,9,0
CKT_0120,9,12.272113176845279,8,3.4379,3.43786273093651,3.45,0.012100000000000222,0.01213726906349022,3.726906348999748e-05,0.0,True,False,9,0
CKT_0121,8,165.0001853217199,7,1.188,1.1880315995401673,1.2,0.01200000000000001,0.011968400459832607,3.159954016740407e-05,0.0,True,False,8,0
CKT_0122,14,198.19353751557358,9,6.1243,6.1242558691980005,6.1,0.02430000000000021,0.024255869198000823,4.4130801999386904e-05,8.881784197001252e-16,True,False,14,0
CKT_0123,13,377205.8034314536,9,0.497,0.49695841691743453,0.5,0.0030000000000000027,0.003041583082565469,4.158308256546617e-05,1.6653345369377348e-16,True,False,13,0
CKT_0124,12,7431.499264026137,9,7.4091,7.409075342807834,7.4,0.00909999999999922,0.009075342807833842,2.4657192165378206e-05,1.7763568394002505e-15,True,False,12,0
CKT_0125,13,6716.90745641366,9,9.3061,9.306097174552015,9.3,0.006099999999999994,0.006097174552014195,2.825447985799201e-06,4.263256414560601e-14,True,False,13,0
CKT_0126,13,7106.121289706535,9,12.6372,12.637196800206432,12.65,0.012800000000000367,0.012803199793568254,3.1997935678873546e-06,4.440892098500626e-14,True,False,13,0
CKT_0127,21,20231.26173490288,9,21.0205,21.020549420345617,21.0,0.02049999999999841,0.02054942034561691,4.9420345618500505e-05,0.0,True,False,21,0
CKT_0128,21,109577.50202954425,9,0.026,0.02598383984296733,0.05,0.024000000000000004,0.024016160157032673,1.6160157032669292e-05,3.469446951953614e-18,True,False,21,0
CKT_0129,37,98968.99245171943,42,8.8102,8.81018312007088,8.8,0.01019999999999932,0.01018312007087907,1.687992912025038e-05,1.2612133559741778e-13,True,False,37,0
CKT_0130,38,168139.70524023223,42,23.6201,23.620145780219392,23.6,0.02009999999999934,0.02014578021939073,4.578021939138921e-05,8.881784197001252e-13,True,False,38,0
CKT_0131,43,280392.24739363947,48,14.0817,14.081739367582756,14.1,0.018299999999999983,0.018260632417243627,3.9367582756355546e-05,1.545430450278218e-13,True,False,43,0
CKT_0132,44,111335.08409139575,48,7.9791,7.979088318230491,8.0,0.02090000000000014,0.020911681769509194,1.1681769509053197e-05,5.124789481669723e-13,True,False,44,0
CKT_0133,44,396793.81052713847,49,6.976,6.976006917963389,7.0,0.02400000000000002,0.023993082036611213,6.917963388808346e-06,8.659739592076221e-12,True,False,44,0
CKT_0134,24,51770.31829790472,14,11.995,11.995023544677897,12.0,0.005000000000000782,0.00497645532210278,2.3544677898001964e-05,2.6645352591003757e-14,True,False,24,0
CKT_0135,25,33814.79451831289,16,14.9694,14.96938747229226,14.95,0.019400000000000972,0.019387472292260455,1.2527707740517258e-05,1.7763568394002505e-15,True,False,25,0
CKT_0136,24,33220.43126102373,14,11.3129,11.31287989036499,11.3,0.012900000000000134,0.012879890364988711,2.010963501142271e-05,5.861977570020827e-14,True,False,24,0
CKT_0137,25,22418.98785681291,16,1.8463,1.8462585778566574,1.85,0.0037000000000000366,0.003741422143342721,4.142214334268424e-05,2.220446049250313e-15,True,False,25,0
CKT_0138,23,8073.645682865092,14,11.7056,11.705608513700161,11.7,0.00560000000000116,0.005608513700162021,8.513700160861504e-06,3.552713678800501e-13,True,False,23,0
CKT_0139,10,nan,8,3.3,3.3,3.3,0.0,0.0,0.0,0.0,True,False,0,0
