K,circuit,dtype,eta,frac_finite,frac_onehot,frac_tied,fwd_rel_err,max_entropy,mean_entropy,n_free,n_lookups,pred_unchanged,pred_v,prune,prune_nz,quant,selector_hit
1000000.0,CKT_0093,f32,1.0531926885300123e-08,1.0,0.17321639399561478,0.8267836060043853,9.390286632130033e-08,4.3438054187395245,2.834616092103132,13,23716,True,10.85,0.0,False,,1.0
1000000.0,CKT_0093,bf16,0.17841378890762202,1.0,0.16457244054646653,0.8354275594535335,310.2301015413676,4.34727440840399,2.846269835618969,13,23716,False,23.95,0.0,False,,0.9905548996458088
1000000.0,CKT_0093,f16,inf,0.0126496879743633,0.003162421993590825,0.009487265980772474,inf,1.3862943611198906,0.010050271099502685,13,23716,False,0.0,0.0,False,,0.7212008770450329
1000000.0,CKT_0093,f64,1.0,1.0,0.012987012987012988,0.987012987012987,1.0,4.343805421853685,3.3839602723618603,13,23716,False,0.0,0.0,False,per_tensor_int8,0.9046213526733007
1000000.0,CKT_0093,f64,1.0,1.0,0.17321639399561478,0.8267836060043853,1.0,4.343805421853685,2.8346160723031164,13,23716,False,0.0,0.0,False,per_channel_int8,0.9223309158374093
1000000.0,CKT_0093,f64,2.0466900829082193e-17,1.0,0.17321639399561478,0.8267836060043853,2.0190589980337532e-16,4.343805421853685,2.8346160723031164,13,23716,True,10.85,0.1,False,,1.0
1000000.0,CKT_0093,f64,1.0,1.0,0.17321639399561478,0.8267836060043853,1.0,4.343805421853685,2.8346160723031164,13,23716,False,0.0,0.1,True,,0.914066453027492
1000000.0,CKT_0093,f64,2.0466900829082193e-17,1.0,0.17321639399561478,0.8267836060043853,2.0190589980337532e-16,4.343805421853685,2.8346160723031164,13,23716,True,10.85,0.5,False,,1.0
1000000.0,CKT_0093,f64,1.0,1.0,0.17321639399561478,0.8267836060043853,1.0,4.343805421853685,2.8346160723031164,13,23716,False,0.0,0.5,True,,0.914066453027492
1000000.0,CKT_0093,f64,2.0466900829082193e-17,1.0,0.17321639399561478,0.8267836060043853,2.0190589980337532e-16,4.343805421853685,2.8346160723031164,13,23716,True,10.85,0.9,False,,1.0
1000000.0,CKT_0093,f64,1.0,1.0,0.012987012987012988,0.987012987012987,1.0,4.343805421853685,3.3839602723618603,13,23716,False,0.0,0.9,True,,0.9046213526733007
10000.0,CKT_0093,f64,2.0466900829082193e-17,1.0,0.17321639399561478,0.8267836060043853,2.0190589980337532e-16,4.343805421853685,2.8346160723031164,13,23716,True,10.85,0.0,False,,1.0
10000.0,CKT_0093,f32,1.0531926885300123e-08,1.0,0.17321639399561478,0.8267836060043853,9.390286632130033e-08,4.3438054187395245,2.834616092103132,13,23716,True,10.85,0.0,False,,1.0
10000.0,CKT_0093,bf16,0.21791111504495456,1.0,0.164867599932535,0.835132400067465,154.73923123612363,4.34727440840399,2.8464388134225205,13,23716,False,23.85,0.0,False,,0.9911452184179457
10000.0,CKT_0093,f16,inf,0.017456569404621352,0.006198347107438017,0.01142688480350818,inf,1.3862943611198906,0.011277804477117702,13,23716,False,0.0,0.0,False,,0.7218333614437511
10000.0,CKT_0093,f64,1.0,1.0,0.012987012987012988,0.987012987012987,1.0,4.343805421853685,3.3839602723618603,13,23716,False,0.0,0.0,False,per_tensor_int8,0.9046213526733007
10000.0,CKT_0093,f64,1.0,1.0,0.17321639399561478,0.8267836060043853,1.0,4.343805421853685,2.8346160723031164,13,23716,False,0.0,0.0,False,per_channel_int8,0.9223309158374093
10000.0,CKT_0093,f64,2.0466900829082193e-17,1.0,0.17321639399561478,0.8267836060043853,2.0190589980337532e-16,4.343805421853685,2.8346160723031164,13,23716,True,10.85,0.1,False,,1.0
10000.0,CKT_0093,f64,1.0,1.0,0.17321639399561478,0.8267836060043853,1.0,4.343805421853685,2.8346160723031164,13,23716,False,0.0,0.1,True,,0.914066453027492
10000.0,CKT_0093,f64,2.0466900829082193e-17,1.0,0.17321639399561478,0.8267836060043853,2.0190589980337532e-16,4.343805421853685,2.8346160723031164,13,23716,True,10.85,0.5,False,,1.0
10000.0,CKT_0093,f64,1.0,1.0,0.17321639399561478,0.8267836060043853,1.0,4.343805421853685,2.8346160723031164,13,23716,False,0.0,0.5,True,,0.914066453027492
10000.0,CKT_0093,f64,2.0466900829082193e-17,1.0,0.17321639399561478,0.8267836060043853,2.0190589980337532e-16,4.343805421853685,2.8346160723031164,13,23716,True,10.85,0.9,False,,1.0
