circuit_id,complexity,N,T_used,V_STEP_V,pred_V_dsl,truth_V,abs_error,pass_fail,jacobi_ref_V,rho_M,kappa_A,seq_length,dsl_time_ms,error
CKT_0105,Hard,22,1100,0.01,0.0600,0.0601,0.0001,PASS,0.0598,0.787881,1.3862e+04,48448,39823.8,
CKT_0106,Hard,22,1100,0.01,11.7900,11.7927,0.0027,PASS,11.7931,0.868353,2.6070e+04,48448,39452.6,
CKT_0107,Hard,31,1550,0.01,1.1700,2.2513,1.0813,FAIL,2.1511,0.997529,1.9183e+03,96166,79002.3,
CKT_0108,Hard,31,1550,0.01,0.0000,3.8495,3.8495,FAIL,0.7525,0.999795,2.3753e+04,96166,79668.1,
CKT_0109,Hard,36,1800,0.01,0.0000,4.1397,4.1397,FAIL,0.0000,0.999980,1.9765e+05,129676,105976.5,
CKT_0110,Hard,36,1800,0.01,0.0000,5.2916,5.2916,FAIL,0.1934,0.999959,2.0093e+05,129676,105761.8,
CKT_0111,Hard,37,1850,0.01,4.3100,5.7196,1.4096,FAIL,5.0856,0.999365,8.3281e+05,136978,112509.7,
CKT_0112,Hard,23,1150,0.01,11.9700,11.9984,0.0284,PASS,11.9963,0.999862,2.5865e+04,52950,43679.1,
CKT_0113,Hard,25,1250,0.01,8.9900,8.995,0.0050,PASS,8.9913,0.999905,4.2590e+04,62554,51359.7,
CKT_0114,Hard,23,1150,0.01,5.0000,4.9991,0.0009,PASS,4.9990,0.968120,2.1437e+04,52950,43844.5,
CKT_0115,Hard,25,1250,0.01,22.2800,23.6344,1.3544,FAIL,22.1544,0.997402,2.5651e+05,62554,51804.1,
CKT_0116,Hard,23,1150,0.01,8.8200,8.8276,0.0076,PASS,8.8271,0.996926,4.8768e+03,52950,43480.5,
CKT_0117,Hard,13,1000,0.01,0.0500,0.0487,0.0013,PASS,0.0487,0.126208,1.6957e+01,26030,21115.1,
CKT_0118,Hard,14,1000,0.01,3.3000,3.3037,0.0037,PASS,3.3047,0.304435,2.4727e+01,28032,22624.8,
CKT_0119,Hard,13,1000,0.01,0.0200,0.0237,0.0037,PASS,0.0237,0.766500,1.0332e+02,26030,21168.5,
CKT_0120,Hard,14,1000,0.01,3.4300,3.4379,0.0079,PASS,3.4383,0.649970,1.2272e+01,28032,22489.5,
CKT_0121,Hard,13,1000,0.01,1.1900,1.188,0.0020,PASS,1.1893,0.496118,1.6500e+02,26030,21349.3,
CKT_0122,Hard,18,1000,0.01,5.5700,6.1243,0.5543,FAIL,6.1175,0.971758,1.9819e+02,36040,29357.6,
CKT_0123,Hard,18,1000,0.01,0.4800,0.497,0.0170,PASS,0.4958,0.982621,3.7721e+05,36040,29371.9,
CKT_0124,Hard,18,1000,0.01,7.4100,7.4091,0.0009,PASS,7.4082,0.902033,7.4315e+03,36040,29616.4,
CKT_0125,Hard,18,1000,0.01,5.7900,9.3061,3.5161,FAIL,7.7575,0.997947,6.7169e+03,36040,29565.6,
CKT_0126,Hard,18,1000,0.01,12.2900,12.6372,0.3472,FAIL,12.6013,0.995116,7.1061e+03,36040,29282.3,
CKT_0127,Hard,27,1350,0.01,21.0100,21.0205,0.0105,PASS,21.0188,0.892709,2.0231e+04,72958,59917.0,
CKT_0128,Hard,27,1350,0.01,0.0300,0.026,0.0040,PASS,0.0260,0.999715,1.0958e+05,72958,59355.8,
CKT_0129,Hard,43,2150,0.01,4.3100,8.8102,4.5002,FAIL,5.6033,0.999630,9.8969e+04,184990,154026.3,
CKT_0130,Hard,43,2150,0.01,20.0000,23.6201,3.6201,FAIL,20.7376,0.999653,1.6814e+05,184990,152980.3,
CKT_0131,Hard,49,2450,0.01,12.1500,14.0817,1.9317,FAIL,12.4988,0.999123,2.8039e+05,240202,198609.9,
CKT_0132,Hard,49,2450,0.01,0.0000,7.9791,7.9791,FAIL,0.9144,0.999932,1.1134e+05,240202,198502.0,
CKT_0133,Hard,50,2500,0.01,0.0000,6.976,6.9760,FAIL,0.0026,0.999977,3.9679e+05,250104,206647.5,
CKT_0134,Hard,29,1450,0.01,11.9200,11.995,0.0750,FAIL,11.9902,0.997081,5.1770e+04,84162,70573.7,
CKT_0135,Hard,31,1550,0.01,14.9700,14.9694,0.0006,PASS,14.9693,0.999395,3.3815e+04,96166,79939.8,
CKT_0136,Hard,29,1450,0.01,1.1200,11.3129,10.1929,FAIL,3.8569,0.999644,3.3220e+04,84162,68978.4,
CKT_0137,Hard,31,1550,0.01,1.7800,1.8463,0.0663,FAIL,1.8407,0.999662,2.2419e+04,96166,79210.9,
CKT_0138,Hard,29,1450,0.01,8.0200,11.7056,3.6856,FAIL,6.4868,0.999580,8.0736e+03,84162,68635.0,
CKT_0139,Hard,15,1000,0.01,3.3000,3.3,0.0000,PASS,3.3000,0.927376,3.8880e+03,30034,24833.4,
CKT_0140,Hard,16,1000,0.01,14.9700,14.9813,0.0113,PASS,14.9810,0.673564,3.0369e+04,32036,26303.9,
CKT_0141,Hard,15,1000,0.01,4.0300,4.0347,0.0047,PASS,4.0360,0.990399,3.0571e+02,30034,24522.3,
CKT_0142,Hard,16,1000,0.01,1.9100,1.9138,0.0038,PASS,1.9133,0.824330,7.3951e+01,32036,26191.9,
