circuit_id,complexity,N,n_free,n_fixed,target_node,pred_V_dsl,ref_V_lu,ref_V_direct,truth_V,abs_error,pass_fail,seq_length,build_time_s,run_time_s,n_layers,d_model,build_status,run_status,error
CKT_0057,Hard,12,7,5,4,7.5500,7.5500,7.5500,7.567,0.0170,PASS,49,4.14,0.16,4,100,built,PASS,
CKT_0058,Hard,12,8,4,4,3.3000,3.3000,3.3000,3.3,0.0000,PASS,52,5.58,0.07,4,106,built,PASS,
CKT_0059,Hard,12,7,5,4,0.0500,0.0500,0.0500,0.066,0.0160,PASS,49,3.95,0.12,4,100,built,PASS,
CKT_0060,Hard,13,8,5,12,17.1000,17.1500,17.1500,17.1311,0.0311,PASS,54,5.94,0.12,4,110,built,PASS,
CKT_0061,Hard,13,10,3,12,11.4000,11.4000,11.4000,11.4013,0.0013,PASS,60,6.62,0.13,4,120,built,PASS,
CKT_0062,Hard,16,11,5,15,5.0000,5.0000,5.0000,5.0088,0.0088,PASS,69,8.89,0.18,4,140,built,PASS,
CKT_0063,Hard,16,12,4,15,0.2500,0.2500,0.2500,0.2298,0.0202,PASS,72,10.82,0.12,4,144,built,PASS,
CKT_0064,Hard,17,14,3,16,9.0000,9.0000,9.0000,8.9905,0.0095,PASS,80,11.64,0.24,4,158,built,PASS,
CKT_0065,Hard,11,6,5,6,10.2000,10.2000,10.2000,10.1916,0.0084,PASS,44,3.95,0.05,4,92,built,PASS,
CKT_0066,Hard,13,8,5,6,12.4000,12.4000,12.4000,12.4153,0.0153,PASS,54,4.99,0.11,4,110,built,PASS,
CKT_0067,Hard,11,6,5,6,21.2000,21.2500,21.2500,21.2617,0.0617,FAIL,44,3.84,0.13,4,92,built,FAIL,
CKT_0068,Hard,13,8,5,6,23.9500,23.9500,23.9500,24.0,0.0500,FAIL,54,5.51,0.17,4,110,built,FAIL,
CKT_0069,Hard,11,7,4,6,6.7000,6.7500,6.7500,6.7311,0.0311,PASS,47,3.80,0.17,4,96,built,PASS,
CKT_0070,Hard,7,4,3,4,0.0000,0.0000,0.0000,0.0221,0.0221,PASS,30,1.11,0.04,4,62,built,PASS,
CKT_0071,Hard,8,5,3,5,9.0000,9.0000,9.0000,9.0,0.0000,PASS,35,2.97,0.04,4,72,built,PASS,
CKT_0072,Hard,7,2,5,4,1.8000,1.8000,1.8000,1.8,0.0000,PASS,24,0.79,0.03,4,54,built,PASS,
CKT_0073,Hard,8,5,3,5,1.8000,1.8000,1.8000,1.8238,0.0238,PASS,35,2.50,0.06,4,72,built,PASS,
CKT_0074,Hard,7,3,4,4,3.3000,3.3000,3.3000,3.3,0.0000,PASS,27,0.96,0.05,4,58,built,PASS,
CKT_0075,Hard,10,7,3,5,7.1000,7.1000,7.1000,7.1181,0.0181,PASS,45,3.59,0.11,4,90,built,PASS,
CKT_0076,Hard,10,7,3,5,0.9000,0.9000,0.9000,0.906,0.0060,PASS,45,4.09,0.06,4,90,built,PASS,
CKT_0077,Hard,10,7,3,5,9.0000,9.0000,9.0000,9.0,0.0000,PASS,45,3.52,0.13,4,90,built,PASS,
CKT_0078,Hard,10,5,5,5,7.1000,7.1000,7.1000,7.084,0.0160,PASS,39,2.52,0.05,4,82,built,PASS,
CKT_0079,Hard,10,5,5,5,3.3000,3.3000,3.3000,3.3,0.0000,PASS,39,2.14,0.05,4,82,built,PASS,
CKT_0080,Hard,17,12,5,6,4.9500,4.9500,4.9500,4.9311,0.0189,PASS,74,10.94,0.17,4,148,built,PASS,
CKT_0081,Hard,17,11,6,6,4.7000,4.7000,4.7000,4.7176,0.0176,PASS,71,9.66,0.25,4,144,built,PASS,
CKT_0082,Hard,17,12,5,6,2.4000,2.4000,2.4000,2.3987,0.0013,PASS,74,11.09,0.21,4,148,built,PASS,
CKT_0083,Hard,17,12,5,6,15.0000,15.0000,15.0000,14.9996,0.0004,PASS,74,10.72,0.20,4,148,built,PASS,
CKT_0084,Hard,21,17,4,20,14.2500,14.2500,14.2500,14.2707,0.0207,PASS,97,14.57,0.24,4,192,built,PASS,
CKT_0085,Hard,21,16,5,20,2.7500,2.7500,2.7500,2.7688,0.0188,PASS,94,12.69,0.28,4,188,built,PASS,
