circuit,transformer,layer,token,pos,l2_norm,abs_max,nz_count
CKT_0067,T2,1,skip,11,121.51176254974108,121.0,5
CKT_0067,T2,2,skip,11,121.50764765209085,121.0,4
CKT_0067,T2,3,skip,11,121.50764765209085,121.0,4
CKT_0067,T2,4,skip,11,121.50764765209085,121.0,4
CKT_0067,T2,0,v_100,12,50000.20883088,50000.0,6
CKT_0067,T2,1,v_100,12,50000.20882088004,50000.0,5
CKT_0067,T2,2,v_100,12,144.50651061654082,144.0,4
CKT_0067,T2,3,v_100,12,144.50651061654082,144.0,4
CKT_0067,T2,4,v_100,12,144.50651061654082,144.0,4
CKT_0067,T2,0,skip,13,169.50856097160502,169.0,5
CKT_0067,T2,1,skip,13,169.50856097160502,169.0,5
CKT_0067,T2,2,skip,13,169.50561124241383,169.0,4
CKT_0067,T2,3,skip,13,169.50561124241383,169.0,4
CKT_0067,T2,4,skip,13,169.50561124241383,169.0,4
CKT_0067,T2,0,v_0,14,196.50743184432443,196.0,5
CKT_0067,T2,1,v_0,14,196.50488739482236,196.0,4
CKT_0067,T2,2,v_0,14,196.50488739482236,196.0,4
CKT_0067,T2,3,v_0,14,196.50488739482236,196.0,4
CKT_0067,T2,4,v_0,14,196.50488739482236,196.0,4
CKT_0067,T2,0,skip,15,225.5065132782361,225.0,5
CKT_0067,T2,1,skip,15,225.5065132782361,225.0,5
CKT_0067,T2,2,skip,15,225.50429603647748,225.0,4
CKT_0067,T2,3,skip,15,225.50429603647748,225.0,4
CKT_0067,T2,4,skip,15,225.50429603647748,225.0,4
CKT_0067,T2,0,v_66,16,33000.99688195482,33000.0,6
CKT_0067,T2,1,v_66,16,33000.99686680377,33000.0,5
CKT_0067,T2,2,v_66,16,256.5038065840204,256.0,4
CKT_0067,T2,3,v_66,16,256.5038065840204,256.0,4
CKT_0067,T2,4,v_66,16,256.5038065840204,256.0,4
CKT_0067,T2,0,skip,17,289.50512390513495,289.0,5
CKT_0067,T2,1,skip,17,289.50512390513495,289.0,5
CKT_0067,T2,2,skip,17,289.50339681483456,289.0,4
CKT_0067,T2,3,skip,17,289.50339681483456,289.0,4
CKT_0067,T2,4,skip,17,289.50339681483456,289.0,4
CKT_0067,T2,0,v_0,18,324.50459107695895,324.0,5
CKT_0067,T2,1,v_0,18,324.50305026305125,324.0,4
CKT_0067,T2,2,v_0,18,324.50305026305125,324.0,4
CKT_0067,T2,3,v_0,18,324.50305026305125,324.0,4
CKT_0067,T2,4,v_0,18,324.50305026305125,324.0,4
CKT_0067,T2,0,skip,19,361.50413762851593,361.0,5
CKT_0067,T2,1,skip,19,361.50413762851593,361.0,5
CKT_0067,T2,2,skip,19,361.5027545158363,361.0,4
CKT_0067,T2,3,skip,19,361.5027545158363,361.0,4
CKT_0067,T2,4,skip,19,361.5027545158363,361.0,4
CKT_0067,T2,0,v_0,20,400.5037485004973,400.0,5
CKT_0067,T2,1,v_0,20,400.5025000707856,400.0,4
CKT_0067,T2,2,v_0,20,400.5025000707856,400.0,4
CKT_0067,T2,3,v_0,20,400.5025000707856,400.0,4
CKT_0067,T2,4,v_0,20,400.5025000707856,400.0,4
CKT_0067,T2,0,skip,21,441.50341204812855,441.0,5
CKT_0067,T2,1,skip,21,441.50341204812855,441.0,5
CKT_0067,T2,2,skip,21,441.5022795525971,441.0,4
CKT_0067,T2,3,skip,21,441.5022795525971,441.0,4
CKT_0067,T2,4,skip,21,441.5022795525971,441.0,4
CKT_0067,T2,0,v_0,22,484.5031191515796,484.0,5
CKT_0067,T2,1,v_0,22,484.50208716538026,484.0,4
CKT_0067,T2,2,v_0,22,484.50208716538026,484.0,4
CKT_0067,T2,3,v_0,22,484.50208716538026,484.0,4
CKT_0067,T2,4,v_0,22,484.50208716538026,484.0,4
CKT_0067,T2,0,readout,23,8714.23061902119,8658.0,19
CKT_0067,T2,1,readout,23,8714.230676398602,8658.0,20
CKT_0067,T2,2,readout,23,344071.8479464449,239500.0,13
CKT_0067,T2,3,readout,23,212172.3607215876,212171.7,6
CKT_0067,T2,4,readout,23,212172.3607215876,212171.7,6
CKT_0067,T2,0,halt,24,576.501769266588,576.0,4
CKT_0067,T2,1,halt,24,576.5026365659625,576.0,5
CKT_0067,T2,2,halt,24,576.501769266588,576.0,4
CKT_0067,T2,3,halt,24,576.501769266588,576.0,4
CKT_0067,T2,4,halt,24,576.501769266588,576.0,4
