circuit,transformer,layer,head,global_max_err,rel_fro_err,col_0_err,col_1_err,col_2_err,col_3_err,col_4_err,col_5_err
CKT_0067,T1,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
