circuit_id,N,n_free,kappa_actual,max_eta,median_eta,max_omega,right_residual,max_forward_err,median_forward_err,build_s,infer_s,status
CKT_0097,11,7,384.2313888263672,4.882897782795537e-17,2.4504328280180364e-17,1.1099719263520534e-16,9.0290512648428e-19,2.2737367544323206e-13,1.0408340855860843e-17,0.558,6.963,ok
CKT_0098,10,4,11330.496684089172,6.678601469348859e-17,1.9039193383839337e-20,1.0812174007222196e-16,5.1302233105406606e-20,7.105427357601002e-15,0.0,0.334,0.142,ok
CKT_0099,14,10,648.0877460490917,5.406778944596548e-17,1.0917211538261944e-17,1.9887998708087324e-16,2.5976134537052085e-18,1.8189894035458565e-12,2.220446049250313e-16,0.831,13.263,ok
CKT_0100,14,8,92.53578700640358,1.2314851797940279e-16,3.421769565506746e-17,2.1730502135145617e-16,3.943668562317866e-17,2.2737367544323206e-13,2.8782531913407183e-14,0.611,8.979,ok
CKT_0101,14,9,116.31689120341512,9.095360877943072e-17,5.703475983100978e-17,2.243988824208449e-16,4.098833362757305e-17,3.410605131648481e-13,2.1316282072803006e-14,0.762,10.713,ok
CKT_0102,14,8,310.7505550953693,1.1067087140710436e-16,1.1168241854518734e-18,1.758696943589206e-16,1.1584405021715374e-18,4.547473508864641e-13,0.0,0.605,8.097,ok
CKT_0103,14,8,12431.598766139286,5.930837424032953e-17,3.480409794377992e-18,1.8012867548368597e-16,1.2398848350235872e-19,4.547473508864641e-13,0.0,0.676,8.226,ok
CKT_0104,22,18,3025.491291686753,9.700758954033881e-17,4.601933522515007e-19,2.1661627157681924e-16,3.365435373486433e-19,1.1368683772161603e-13,0.0,3.297,27.084,ok
CKT_0105,22,16,13861.727761248238,5.0349827139059665e-17,6.960512629474775e-19,1.1102230145790446e-16,3.923322640094046e-20,1.8189894035458565e-12,0.0,2.591,18.811,ok
CKT_0106,22,17,26070.34759856253,4.635780485763509e-17,5.146783998970161e-20,1.246033837253131e-16,3.3462751701135806e-20,5.820766091346741e-11,0.0,3.136,20.118,ok
CKT_0107,31,27,1918.2675652618118,1.8153329529259767e-16,3.1405192686239174e-17,2.468330576047361e-16,4.0933775297854426e-17,7.321432349272072e-11,5.115907697472721e-13,5.611,119.632,ok
CKT_0108,31,27,23752.554863297562,1.8293455444411076e-16,4.9801635192465764e-17,2.42248881555394e-16,6.44976544181838e-17,4.0745362639427185e-10,9.094947017729282e-12,5.643,125.09,ok
CKT_0109,36,30,197647.8232366291,1.1596940293093625e-16,4.399036752228953e-17,3.6878080796701157e-16,3.985410724624279e-17,1.9776052795350552e-07,8.076312951743603e-10,7.582,156.689,ok
CKT_0110,36,31,200927.30148836767,1.2754569063914702e-16,5.97274642803737e-17,2.877000662134007e-16,5.655117224505609e-17,5.702167982235551e-08,1.3455974112730473e-09,7.027,154.097,ok
CKT_0111,37,33,832809.3693123825,9.567602808848216e-17,3.4276245158751075e-17,2.1304006553467833e-16,6.055623235343358e-19,9.313225746154785e-10,3.304023721284466e-12,8.486,140.252,ok
CKT_0112,23,19,25865.304318569837,6.628045785074043e-17,4.1072320756567796e-18,2.884454816402719e-16,5.368999917098085e-17,5.8862497098743916e-09,6.102757188486407e-15,3.579,41.961,ok
CKT_0113,25,21,42589.89947692976,1.4080424978141344e-16,2.8199337664715547e-17,2.2315066494982915e-16,5.166434718559835e-17,3.058084985241294e-08,3.952393967665557e-14,3.679,50.922,ok
CKT_0114,23,17,21437.236489667634,7.687417909414712e-17,1.9572457727260953e-18,2.1619856922855037e-16,2.733973966452033e-19,1.4551915228366852e-11,1.6543612251060553e-24,2.727,29.302,ok
CKT_0115,25,21,256510.29970070123,9.843090843540264e-17,2.2574492859872355e-17,3.0223766091501217e-16,3.019343289426469e-19,2.3646862246096134e-10,1.7763568394002505e-14,3.845,54.846,ok
CKT_0116,23,19,4876.798439682545,5.327448241980428e-17,8.503296703317054e-18,1.939388744554852e-16,5.308235363669546e-18,3.637978807091713e-12,1.1102230246251565e-16,3.606,41.627,ok
CKT_0117,13,7,16.956604247173942,1.0844852637216768e-16,8.116538829180745e-20,1.6173270516857898e-16,1.8415843879753122e-17,2.842170943040401e-14,0.0,0.555,6.313,ok
CKT_0118,14,8,24.727289678481917,5.892096852801738e-17,2.232266204684259e-18,1.9039063676187716e-16,6.9783470411909e-18,2.842170943040401e-14,0.0,0.595,7.898,ok
CKT_0119,13,9,103.32393291736162,1.0993615823430563e-16,1.1501635414949802e-17,2.0358987683232474e-16,2.116967846253827e-18,7.105427357601002e-15,4.1359030627651384e-25,0.709,9.726,ok
CKT_0120,14,9,12.272113176845277,3.051066421932839e-17,5.656421759690002e-18,2.595448295044238e-16,2.811147863338118e-17,1.4210854715202004e-14,7.395570986446986e-32,0.682,9.632,ok
CKT_0121,13,8,165.00018532171993,5.551066152670514e-17,7.543300309199239e-19,1.629025436557627e-16,1.8229093312772603e-18,2.2737367544323206e-13,0.0,0.654,8.308,ok
CKT_0122,18,14,198.19353751557324,8.713731043117013e-17,2.925296051526998e-17,1.7408697314742942e-16,2.2688567361259927e-17,1.9895196601282805e-13,2.042810365310288e-14,1.715,17.159,ok
CKT_0123,18,13,377205.80343145377,1.2527360304447693e-16,1.6699287123363175e-17,2.0086346465631287e-16,5.3802971137225856e-20,1.1641532182693481e-10,1.2079226507921703e-13,1.773,21.489,ok
CKT_0124,18,12,7431.499264026135,1.19629161673532e-16,1.820628546789664e-17,2.1462583421753092e-16,1.6453682725403444e-19,2.2737367544323206e-13,2.498001805406602e-16,1.396,16.556,ok
CKT_0125,18,13,6716.907456413675,1.3111087143543222e-16,2.5079096646059128e-17,3.1016829117269955e-16,2.0896363218488608e-17,3.865352482534945e-11,1.794120407794253e-13,1.837,16.072,ok
CKT_0126,18,13,7106.121289706598,1.1451431890036934e-16,1.6827673318448456e-17,1.8929556521691382e-16,5.072221120329902e-18,7.275957614183426e-12,3.774758283725532e-15,1.845,13.153,ok
CKT_0127,27,21,20231.26173490288,1.055018901610134e-16,2.7655181285778397e-19,1.481575468625028e-16,4.7694474976240386e-20,4.547473508864641e-13,0.0,3.868,51.959,ok
CKT_0128,27,21,109577.50202954386,9.779284334049697e-17,5.1827272795332755e-18,1.1872016900663995e-16,2.9317233000588268e-18,5.820766091346741e-11,0.0,3.879,51.267,ok
CKT_0129,43,37,98968.99245182144,6.887024849668517e-17,3.258629342967976e-17,3.355969922751047e-16,7.088741670227243e-18,6.810296326875687e-08,1.0928147275990341e-11,9.048,72.302,ok
CKT_0130,43,38,168139.70524023322,1.1603711663109758e-16,3.339785968843322e-17,2.9509074983614614e-16,5.157128171585124e-18,7.1668182499706745e-09,1.509761204943061e-10,9.682,63.713,ok
CKT_0131,49,43,280392.24739364925,7.084691076084118e-17,1.3762111218480692e-17,2.5345586598575214e-16,8.366568152788886e-19,1.9826984498649836e-10,4.341416115494212e-12,12.246,55.325,ok
CKT_0132,49,44,111335.08409140236,1.4487020044133959e-16,6.905318524855042e-17,3.5413104796715076e-16,3.816500797928848e-17,5.2386894822120667e-08,1.5279510989785194e-10,11.724,64.965,ok
CKT_0133,50,44,396793.8105266343,9.819149870608759e-17,3.5677652982533814e-17,2.385109349416624e-16,4.355215063080319e-17,5.782349035143852e-07,1.7985257727559656e-10,11.702,60.429,ok
CKT_0134,29,24,51770.31829790502,1.2441991247924623e-16,4.29220781000615e-18,2.1634204724683384e-16,1.4737363086918605e-18,2.9103830456733704e-11,1.3877787807814457e-17,4.594,92.899,ok
CKT_0135,31,25,33814.79451830718,6.273301503856471e-17,9.101157805672651e-18,2.7250539697710814e-16,9.29015983191939e-18,5.2241375669837e-09,4.235164736271502e-21,4.999,102.56,ok
CKT_0136,29,24,33220.43126102328,9.15098594950638e-17,2.6287953858261175e-17,2.3070948519133565e-16,1.174266138575504e-17,3.183231456205249e-10,8.526512829121202e-13,4.512,85.383,ok
CKT_0137,31,25,22418.987856812684,1.1152440396900803e-16,1.065878502686959e-17,2.5890512449931145e-16,1.848755986876356e-17,4.180037649348378e-09,3.316791286067655e-14,5.066,102.238,ok
CKT_0138,29,23,8073.645682865097,4.9847048133991295e-17,3.035086820605019e-18,2.10270756904078e-16,3.0359257309418964e-17,1.7280399333685637e-11,7.771561172376096e-16,4.8,77.188,ok
CKT_0139,15,10,3888.0029380887213,5.251602540227781e-17,8.269239712157353e-18,1.5588581536151658e-16,2.647775244592857e-19,2.1316282072803006e-14,0.0,0.786,12.058,ok
CKT_0140,16,10,30369.20770764862,3.031392218859787e-17,1.825184881580016e-20,2.0092284438652602e-16,8.686335458089588e-21,2.9103830456733704e-11,0.0,0.791,12.358,ok
CKT_0141,15,9,305.71049323332704,8.753235999972317e-17,4.139218113219201e-17,1.294885577132202e-16,2.8484441325197905e-17,1.0658141036401503e-14,2.6020852139652106e-18,0.744,9.781,ok
CKT_0142,16,10,73.9506237879796,1.054918544504395e-16,5.555089997069583e-18,2.1729890443227034e-16,5.472914468313998e-18,5.684341886080802e-14,0.0,0.764,13.75,ok
CKT_0143,15,9,773.5699136136984,4.35559408643405e-17,1.2224708931908995e-19,1.6248426649350965e-16,3.248674357910354e-19,5.684341886080802e-14,0.0,0.75,10.678,ok
CKT_0144,22,17,86727.8031842603,7.088745716349879e-17,1.8302670261172226e-17,2.320652854389447e-16,1.5603576747138362e-19,5.820766091346741e-11,7.105427357601002e-15,2.759,22.552,ok
CKT_0145,22,16,835.7319369054769,1.310526804209079e-16,5.0717148841501255e-17,2.2003364718653577e-16,6.102337509145378e-17,7.776179700158536e-11,7.105427357601002e-13,2.56,17.629,ok
CKT_0146,22,17,6158.527386623019,1.1537992171493653e-16,2.4566294901115086e-17,2.252863638265929e-16,1.5834756579330535e-18,7.105427357601002e-13,4.440892098500626e-15,3.043,20.139,ok
CKT_0147,22,17,17989.28956692582,1.0329122223088146e-16,5.857371557078561e-18,2.3637405019835236e-16,8.330520110053011e-19,1.4551915228366852e-11,5.551115123125783e-17,2.951,21.915,ok
CKT_0148,22,17,1741.974576957479,3.1944055857009703e-17,9.289029101652683e-18,3.442546191380701e-16,1.4273505205609267e-17,1.4097167877480388e-11,7.105427357601002e-15,2.861,19.668,ok
CKT_0149,10,6,61.25480747048964,6.943724861415578e-17,2.4403951290367217e-17,1.308445938880157e-16,1.5001446397069836e-17,5.684341886080802e-14,6.661338147750939e-16,0.47,3.267,ok
CKT_0150,10,5,31.566070102072818,5.438870746977765e-17,2.2589707185218292e-17,1.3149817012383127e-16,1.8330379052007734e-17,2.842170943040401e-14,0.0,0.417,3.405,ok
CKT_0151,14,9,13520.382737189022,1.1841062352845438e-16,2.938634042998699e-19,1.6399862037906995e-16,2.498040890175516e-19,7.275957614183426e-12,1.7763568394002505e-15,0.792,10.469,ok
