circuit_id,setting,N,n_free,pred_v,truth_v,abs_error_v,delta_vs_float64,pass_50mv,pass_75mv,build_status,run_status,run_time_s,error
CKT_0024,prune50,,2,0.050000,0.0577,0.007700,0.000000,PASS,PASS,,PASS,0.02,
CKT_0024,prune90,,2,0.050000,0.0577,0.007700,0.000000,PASS,PASS,,PASS,0.02,
CKT_0025,float64,,2,0.050000,0.0484,0.001600,0.000000,PASS,PASS,,PASS,0.02,
CKT_0025,int16,,2,0.000000,0.0484,0.048400,0.050000,PASS,PASS,,PASS,0.02,
CKT_0025,int8,,2,0.000000,0.0484,0.048400,0.050000,PASS,PASS,,PASS,0.02,
CKT_0025,int4,,2,0.000000,0.0484,0.048400,0.050000,PASS,PASS,,PASS,0.02,
CKT_0025,prune10,,2,0.050000,0.0484,0.001600,0.000000,PASS,PASS,,PASS,0.02,
CKT_0025,prune50,,2,0.050000,0.0484,0.001600,0.000000,PASS,PASS,,PASS,0.02,
CKT_0025,prune90,,2,0.050000,0.0484,0.001600,0.000000,PASS,PASS,,PASS,0.02,
CKT_0026,float64,,1,11.450000,11.4624,0.012400,0.000000,PASS,PASS,,PASS,0.02,
CKT_0026,int16,,1,0.000000,11.4624,11.462400,11.450000,FAIL,FAIL,,FAIL,0.02,
CKT_0026,int8,,1,0.000000,11.4624,11.462400,11.450000,FAIL,FAIL,,FAIL,0.02,
CKT_0026,int4,,1,0.000000,11.4624,11.462400,11.450000,FAIL,FAIL,,FAIL,0.02,
CKT_0026,prune10,,1,11.450000,11.4624,0.012400,0.000000,PASS,PASS,,PASS,0.02,
CKT_0026,prune50,,1,11.450000,11.4624,0.012400,0.000000,PASS,PASS,,PASS,0.02,
CKT_0026,prune90,,1,11.450000,11.4624,0.012400,0.000000,PASS,PASS,,PASS,0.02,
CKT_0027,float64,,1,7.000000,7.0000,0.000000,0.000000,PASS,PASS,,PASS,0.02,
CKT_0027,int16,,1,0.000000,7.0000,7.000000,7.000000,FAIL,FAIL,,FAIL,0.02,
CKT_0027,int8,,1,0.000000,7.0000,7.000000,7.000000,FAIL,FAIL,,FAIL,0.02,
CKT_0027,int4,,1,0.000000,7.0000,7.000000,7.000000,FAIL,FAIL,,FAIL,0.02,
CKT_0027,prune10,,1,7.000000,7.0000,0.000000,0.000000,PASS,PASS,,PASS,0.02,
CKT_0027,prune50,,1,7.000000,7.0000,0.000000,0.000000,PASS,PASS,,PASS,0.02,
CKT_0027,prune90,,1,7.000000,7.0000,0.000000,0.000000,PASS,PASS,,PASS,0.02,
CKT_0028,float64,,1,14.200000,14.1795,0.020500,0.000000,PASS,PASS,,PASS,0.02,
CKT_0028,int16,,1,0.000000,14.1795,14.179500,14.200000,FAIL,FAIL,,FAIL,0.02,
CKT_0028,int8,,1,0.000000,14.1795,14.179500,14.200000,FAIL,FAIL,,FAIL,0.02,
CKT_0028,int4,,1,0.000000,14.1795,14.179500,14.200000,FAIL,FAIL,,FAIL,0.02,
CKT_0028,prune10,,1,14.200000,14.1795,0.020500,0.000000,PASS,PASS,,PASS,0.02,
CKT_0028,prune50,,1,14.200000,14.1795,0.020500,0.000000,PASS,PASS,,PASS,0.02,
CKT_0028,prune90,,1,14.200000,14.1795,0.020500,0.000000,PASS,PASS,,PASS,0.02,
CKT_0029,float64,,3,0.150000,0.1592,0.009200,0.000000,PASS,PASS,,PASS,0.03,
CKT_0029,int16,,3,0.000000,0.1592,0.159200,0.150000,FAIL,FAIL,,FAIL,0.03,
CKT_0029,int8,,3,0.000000,0.1592,0.159200,0.150000,FAIL,FAIL,,FAIL,0.03,
CKT_0029,int4,,3,0.000000,0.1592,0.159200,0.150000,FAIL,FAIL,,FAIL,0.03,
CKT_0029,prune10,,3,0.150000,0.1592,0.009200,0.000000,PASS,PASS,,PASS,0.03,
CKT_0029,prune50,,3,0.150000,0.1592,0.009200,0.000000,PASS,PASS,,PASS,0.03,
CKT_0029,prune90,,3,0.150000,0.1592,0.009200,0.000000,PASS,PASS,,PASS,0.03,
CKT_0030,float64,,3,5.200000,5.1848,0.015200,0.000000,PASS,PASS,,PASS,0.03,
CKT_0030,int16,,3,0.000000,5.1848,5.184800,5.200000,FAIL,FAIL,,FAIL,0.03,
CKT_0030,int8,,3,0.000000,5.1848,5.184800,5.200000,FAIL,FAIL,,FAIL,0.03,
CKT_0030,int4,,3,0.000000,5.1848,5.184800,5.200000,FAIL,FAIL,,FAIL,0.03,
CKT_0030,prune10,,3,5.200000,5.1848,0.015200,0.000000,PASS,PASS,,PASS,0.03,
CKT_0030,prune50,,3,5.200000,5.1848,0.015200,0.000000,PASS,PASS,,PASS,0.03,
CKT_0030,prune90,,3,5.200000,5.1848,0.015200,0.000000,PASS,PASS,,PASS,0.03,
CKT_0031,float64,,3,3.150000,3.1534,0.003400,0.000000,PASS,PASS,,PASS,0.03,
CKT_0031,int16,,3,0.000000,3.1534,3.153400,3.150000,FAIL,FAIL,,FAIL,0.03,
