circuit_id,complexity,N,max_degree,target_node,rho_J,omega,T_used,n_red,n_black,conflicts,pred_V_dsl,ref_V_rbsor,jacobi_ref_V,truth_V,abs_error,pass_fail,dsl_matches_ref,seq_length,run_time_s,n_layers,d_model,build_status,run_status,error
CKT_0071,Hard,8,6,5,0.676843,1.1520,200,2,6,8,9.0000,9.0000,9.0000,9.0,0.0000,PASS,Y,3220,2.78,6,36,built,PASS,
CKT_0072,Hard,7,6,4,0.904789,1.4027,200,2,5,7,1.8000,1.8000,1.8000,1.8,0.0000,PASS,Y,2818,2.42,6,36,built,PASS,
CKT_0073,Hard,8,6,5,0.449080,1.0562,200,2,6,8,1.8000,1.8000,1.8221,1.8238,0.0238,PASS,Y,3220,2.77,6,36,built,PASS,
CKT_0074,Hard,7,6,4,0.000943,1.0000,200,2,5,7,3.3000,3.3000,3.3000,3.3,0.0000,PASS,Y,2818,2.44,6,36,built,PASS,
CKT_0075,Hard,10,6,5,0.999378,1.9319,200,5,5,5,0.0000,0.0000,3.2231,7.1181,7.1181,FAIL,Y,4024,3.45,6,36,cached,FAIL,
CKT_0076,Hard,10,6,5,0.994225,1.8062,200,4,6,7,0.0000,0.0000,0.9212,0.906,0.9060,FAIL,Y,4024,3.48,6,36,built,FAIL,
CKT_0077,Hard,10,6,5,0.992545,1.7827,200,5,5,7,9.0000,9.0000,9.0000,9.0,0.0000,PASS,Y,4024,3.50,6,36,built,PASS,
CKT_0078,Hard,10,6,5,0.741072,1.1966,200,6,4,9,7.1000,7.1000,7.0838,7.084,0.0160,PASS,Y,4024,3.46,6,36,built,PASS,
CKT_0079,Hard,10,6,5,0.221776,1.0126,200,4,6,8,3.3000,3.3000,3.3000,3.3,0.0000,PASS,Y,4024,3.46,6,36,built,PASS,
CKT_0080,Hard,17,15,6,0.997784,1.8752,200,2,15,14,4.8500,4.8500,4.9314,4.9311,0.0811,FAIL,Y,6838,5.88,6,36,built,FAIL,
CKT_0081,Hard,17,15,6,0.999987,1.9899,962,2,15,14,0.0000,0.0000,4.7122,4.7176,4.7176,FAIL,Y,32746,28.51,6,36,built,FAIL,
CKT_0082,Hard,17,15,6,0.933507,1.4721,200,2,15,14,2.4000,2.4000,2.3982,2.3987,0.0013,PASS,Y,6838,5.91,6,36,built,PASS,
CKT_0083,Hard,17,15,6,0.595201,1.1089,200,2,15,14,15.0000,15.0000,15.0000,14.9996,0.0004,PASS,Y,6838,5.92,6,36,built,PASS,
CKT_0084,Hard,21,4,20,0.997524,1.8686,200,11,10,0,15.7500,15.7500,13.1582,14.2707,1.4793,FAIL,Y,8446,7.33,6,36,built,FAIL,
CKT_0085,Hard,21,4,20,0.999324,1.9291,200,11,10,0,4.2000,4.2000,1.3920,2.7688,1.4312,FAIL,Y,8446,7.31,6,36,cached,FAIL,
CKT_0086,Hard,25,4,24,0.999662,1.9493,228,13,12,0,0.0000,0.0000,1.1988,4.6575,4.6575,FAIL,Y,11454,9.92,6,36,built,FAIL,
CKT_0087,Hard,25,4,24,0.999814,1.9621,289,13,12,0,0.0000,0.0000,3.7002,20.0725,20.0725,FAIL,Y,14504,12.62,6,36,built,FAIL,
CKT_0088,Hard,26,4,25,0.999194,1.9228,200,13,13,0,4.7500,4.7500,4.8591,4.9738,0.2238,FAIL,Y,10456,9.14,6,36,built,FAIL,
CKT_0089,Hard,17,4,8,0.987762,1.7302,200,9,8,8,3.4500,3.4500,3.4946,3.4927,0.0427,PASS,Y,6838,5.92,6,36,built,PASS,
CKT_0090,Hard,19,4,10,0.997375,1.8650,200,9,10,9,4.5000,4.5000,4.8577,4.9572,0.4572,FAIL,Y,7642,6.71,6,36,built,FAIL,
CKT_0091,Hard,17,4,8,0.977300,1.6504,200,9,8,8,13.4500,13.4500,13.4163,13.3976,0.0524,FAIL,Y,6838,5.94,6,36,built,FAIL,
CKT_0092,Hard,19,4,10,0.891662,1.3767,200,9,10,9,14.9000,14.9000,15.0483,15.0485,0.1485,FAIL,Y,7642,6.61,6,36,built,FAIL,
CKT_0093,Hard,17,4,8,0.999937,1.9779,462,9,8,8,0.0000,0.0000,0.5678,10.8352,10.8352,FAIL,Y,15746,13.57,6,36,built,FAIL,
CKT_0094,Hard,10,8,6,0.791247,1.2411,200,2,8,11,23.9500,23.9500,4.1495,4.1475,19.8025,FAIL,Y,4024,3.47,6,36,built,FAIL,
CKT_0095,Hard,11,9,6,0.907965,1.4094,200,2,9,13,1.8000,1.8000,1.8000,1.8,0.0000,PASS,Y,4426,3.87,6,36,built,PASS,
CKT_0096,Hard,10,8,6,0.984289,1.6999,200,2,8,11,23.9500,23.9500,11.2867,11.3191,12.6309,FAIL,Y,4024,3.49,6,36,built,FAIL,
CKT_0097,Hard,11,9,6,0.734518,1.1915,200,2,9,13,4.2500,4.2500,4.2771,4.2758,0.0258,PASS,Y,4426,3.84,6,36,built,PASS,
CKT_0098,Hard,10,8,6,0.829958,1.2838,200,2,8,11,23.9500,23.9500,9.2020,9.202,14.7480,FAIL,Y,4024,3.49,6,36,built,FAIL,
CKT_0099,Hard,14,7,7,0.912959,1.4204,200,6,8,11,1.7500,1.7500,1.8290,1.8308,0.0808,FAIL,Y,5632,4.87,6,36,built,FAIL,
CKT_0100,Hard,14,6,7,0.972341,1.6213,200,6,8,8,5.0000,5.0000,5.0000,5.0,0.0000,PASS,Y,5632,4.88,6,36,built,PASS,
CKT_0101,Hard,14,6,7,0.981348,1.6775,200,8,6,12,10.9000,10.9000,2.6446,2.6478,8.2522,FAIL,Y,5632,4.86,6,36,built,FAIL,
CKT_0102,Hard,14,7,7,0.404950,1.0447,200,8,6,11,10.8500,10.8500,10.8638,10.8656,0.0156,PASS,Y,5632,4.85,6,36,built,PASS,
CKT_0103,Hard,14,8,7,0.921822,1.4413,200,7,7,8,0.0000,0.0000,8.6453,8.6457,8.6457,FAIL,Y,5632,4.87,6,36,built,FAIL,
CKT_0104,Hard,22,20,7,0.856898,1.3197,200,2,20,19,15.0000,15.0000,15.0000,15.0,0.0000,PASS,Y,8848,7.69,6,36,built,PASS,
CKT_0105,Hard,22,20,7,0.787881,1.2378,200,2,20,19,0.0500,0.0500,0.0598,0.0601,0.0101,PASS,Y,8848,7.63,6,36,built,PASS,
CKT_0106,Hard,22,20,7,0.868353,1.3369,200,2,20,19,11.8000,11.8000,11.7931,11.7927,0.0073,PASS,Y,8848,7.62,6,36,built,PASS,
CKT_0107,Hard,31,4,30,0.997529,1.8687,200,16,15,0,2.8000,2.8000,2.1511,2.2513,0.5487,FAIL,Y,12466,10.76,6,36,built,FAIL,
CKT_0108,Hard,31,4,30,0.999795,1.9603,278,16,15,0,0.0000,0.0000,0.7525,3.8495,3.8495,FAIL,Y,17302,14.87,6,36,built,FAIL,
CKT_0109,Hard,36,4,35,0.999980,1.9876,788,18,18,0,0.0000,0.0000,0.0000,4.1397,4.1397,FAIL,Y,56812,49.42,6,36,built,FAIL,
CKT_0110,Hard,36,4,35,0.999959,1.9820,557,18,18,0,0.0000,0.0000,0.1934,5.2916,5.2916,FAIL,Y,40180,34.54,6,36,built,FAIL,
CKT_0111,Hard,37,4,36,0.999365,1.9312,200,19,18,0,4.9500,4.9500,5.0856,5.7196,0.7696,FAIL,Y,14878,12.89,6,36,built,FAIL,
CKT_0112,Hard,23,4,12,0.999862,1.9673,328,11,12,11,0.0000,0.0000,11.9963,11.9984,11.9984,FAIL,Y,15138,13.20,6,36,built,FAIL,
CKT_0113,Hard,25,4,12,0.999905,1.9728,385,13,12,12,9.0500,9.0500,8.9913,8.995,0.0550,FAIL,Y,19304,16.84,6,36,built,FAIL,
CKT_0114,Hard,23,4,12,0.968120,1.5994,200,11,12,11,5.0000,5.0000,4.9990,4.9991,0.0009,PASS,Y,9250,7.95,6,36,built,PASS,
CKT_0115,Hard,25,4,12,0.997402,1.8656,200,13,12,12,12.2000,12.2000,22.1544,23.6344,11.4344,FAIL,Y,10054,8.69,6,36,built,FAIL,
CKT_0116,Hard,23,4,12,0.996926,1.8547,200,11,12,11,19.6000,19.6000,8.8271,8.8276,10.7724,FAIL,Y,9250,7.98,6,36,built,FAIL,
CKT_0117,Hard,13,11,7,0.126208,1.0040,200,2,11,16,0.0500,0.0500,0.0487,0.0487,0.0013,PASS,Y,5230,4.51,6,36,built,PASS,
CKT_0118,Hard,14,12,8,0.304435,1.0243,200,2,12,17,3.3000,3.3000,3.3047,3.3037,0.0037,PASS,Y,5632,4.82,6,36,built,PASS,
CKT_0119,Hard,13,11,7,0.766500,1.2178,200,2,11,16,0.0000,0.0000,0.0237,0.0237,0.0237,PASS,Y,5230,4.52,6,36,built,PASS,
CKT_0120,Hard,14,12,8,0.649970,1.1364,200,2,12,17,3.5500,3.5500,3.4383,3.4379,0.1121,FAIL,Y,5632,4.86,6,36,built,FAIL,
CKT_0121,Hard,13,11,7,0.496118,1.0705,200,2,11,16,1.1500,1.1500,1.1893,1.188,0.0380,PASS,Y,5230,4.52,6,36,built,PASS,
CKT_0122,Hard,18,8,9,0.971758,1.6181,200,11,7,13,16.0000,16.0000,6.1175,6.1243,9.8757,FAIL,Y,7240,6.24,6,36,built,FAIL,
CKT_0123,Hard,18,9,9,0.982621,1.6869,200,10,8,10,3.9000,3.9000,0.4958,0.497,3.4030,FAIL,Y,7240,6.27,6,36,built,FAIL,
CKT_0124,Hard,18,6,9,0.902033,1.3970,200,9,9,7,7.4000,7.4000,7.4082,7.4091,0.0091,PASS,Y,7240,6.23,6,36,built,PASS,
CKT_0125,Hard,18,8,9,0.997947,1.8796,200,9,9,8,9.0500,8.4000,7.7575,9.3061,0.2561,FAIL,N,7240,6.31,6,36,built,FAIL,
CKT_0126,Hard,18,7,9,0.995116,1.8203,200,10,8,12,13.1500,13.1500,12.6013,12.6372,0.5128,FAIL,Y,7240,6.33,6,36,built,FAIL,
CKT_0127,Hard,27,25,9,0.892709,1.3787,200,2,25,24,21.0000,21.0000,21.0188,21.0205,0.0205,PASS,Y,10858,9.39,6,36,built,PASS,
CKT_0128,Hard,27,25,9,0.999715,1.9533,243,2,25,24,0.7500,0.7500,0.0260,0.026,0.7240,FAIL,Y,13180,11.41,6,36,built,FAIL,
