circuit_id,category,N,rho_J,omega,T,pred_V_dsl,ref_V_rbsor,truth_V,abs_error,pass_fail,run_time_s,build_status,run_status,error
CKT_0140,regression,16,0.673564,1.1500,50,15.1500,15.1500,14.9813,0.1687,FAIL,1.48,built,FAIL,
CKT_0140,regression,16,0.673564,1.1500,100,15.1500,15.1500,14.9813,0.1687,FAIL,2.83,built,FAIL,
CKT_0140,regression,16,0.673564,1.1500,200,15.1500,15.1500,14.9813,0.1687,FAIL,5.75,built,FAIL,
CKT_0140,regression,16,0.673564,1.1500,500,15.1500,15.1500,14.9813,0.1687,FAIL,14.25,built,FAIL,
CKT_0140,regression,16,0.673564,1.1500,1000,15.1500,15.1500,14.9813,0.1687,FAIL,28.61,built,FAIL,
CKT_0140,regression,16,0.673564,1.1500,2000,15.8000,15.1500,14.9813,0.8187,FAIL,56.44,built,FAIL,
CKT_0141,regression,15,0.990399,1.7571,50,0.0000,0.0000,4.0347,4.0347,FAIL,1.33,built,FAIL,
CKT_0141,regression,15,0.990399,1.7571,100,0.0000,0.0000,4.0347,4.0347,FAIL,2.67,built,FAIL,
CKT_0141,regression,15,0.990399,1.7571,200,0.0000,0.0000,4.0347,4.0347,FAIL,5.29,built,FAIL,
CKT_0141,regression,15,0.990399,1.7571,500,0.0000,0.0000,4.0347,4.0347,FAIL,13.24,built,FAIL,
CKT_0141,regression,15,0.990399,1.7571,1000,0.0000,0.0000,4.0347,4.0347,FAIL,26.73,built,FAIL,
CKT_0141,regression,15,0.990399,1.7571,2000,0.0000,0.0000,4.0347,4.0347,FAIL,53.31,built,FAIL,
CKT_0145,regression,22,0.997469,1.8672,50,0.0000,0.0000,7.6912,7.6912,FAIL,1.98,built,FAIL,
CKT_0145,regression,22,0.997469,1.8672,100,0.0000,0.0000,7.6912,7.6912,FAIL,3.94,built,FAIL,
CKT_0145,regression,22,0.997469,1.8672,200,0.0000,0.0000,7.6912,7.6912,FAIL,7.82,built,FAIL,
CKT_0145,regression,22,0.997469,1.8672,500,0.0000,0.0000,7.6912,7.6912,FAIL,19.61,built,FAIL,
CKT_0145,regression,22,0.997469,1.8672,1000,15.4500,0.0000,7.6912,7.7588,FAIL,39.04,built,FAIL,
CKT_0145,regression,22,0.997469,1.8672,2000,3.5000,0.0000,7.6912,4.1912,FAIL,79.20,built,FAIL,
CKT_0148,regression,22,0.992654,1.7841,50,11.3500,11.3500,8.9632,2.3868,FAIL,2.00,built,FAIL,
CKT_0148,regression,22,0.992654,1.7841,100,11.3500,11.3500,8.9632,2.3868,FAIL,3.98,built,FAIL,
CKT_0148,regression,22,0.992654,1.7841,200,11.3500,11.3500,8.9632,2.3868,FAIL,7.93,built,FAIL,
CKT_0148,regression,22,0.992654,1.7841,500,11.3500,11.3500,8.9632,2.3868,FAIL,19.72,built,FAIL,
CKT_0148,regression,22,0.992654,1.7841,1000,11.3500,11.3500,8.9632,2.3868,FAIL,39.30,built,FAIL,
CKT_0148,regression,22,0.992654,1.7841,2000,8.6000,11.3500,8.9632,0.3632,FAIL,77.93,built,FAIL,
