circuit_id,N,T_used,n_layers,d_model,d_ffn,n_heads,vocab,n_params,model_size_bytes,milp_time_s,build_time_s,inference_time,skipped_existing,T,pred_V,truth_V,abs_error,seq_length,runtime_s,error,pass_fail
CKT_0069,11,1000,5,44,26,22,505,100320,807738,0.423,0.983,7.215,False,1000,6.75,6.7311,0.0189,11015,7.215,,PASS
CKT_0070,7,1000,5,44,26,22,497,99616,802032,0.425,0.899,4.502,False,1000,0.0,0.0221,0.0221,7011,4.502,,PASS
CKT_0071,8,1000,5,44,26,22,499,99792,803458,0.39,0.9,5.218,False,1000,9.0,9.0,0.0,8012,5.218,,PASS
CKT_0072,7,1000,5,44,26,22,497,99616,802032,0.424,0.887,4.308,False,1000,1.8,1.8,0.0,7011,4.308,,PASS
CKT_0073,8,1000,5,44,26,22,499,99792,803458,0.458,0.93,5.132,False,1000,1.8,1.8238,0.0238,8012,5.132,,PASS
CKT_0074,7,1000,5,44,26,22,497,99616,802032,0.363,0.778,4.524,False,1000,3.3,3.3,0.0,7011,4.524,,PASS
CKT_0075,10,1000,5,44,26,22,503,100144,806310,0.499,0.974,6.347,False,1000,1.85,7.1181,5.2681,10014,6.347,,FAIL
CKT_0076,10,1000,5,44,26,22,503,100144,806310,0.374,0.859,6.138,False,1000,0.9,0.906,0.006,10014,6.138,,PASS
CKT_0077,10,1000,5,44,26,22,503,100144,806310,0.412,0.878,6.181,False,1000,9.0,9.0,0.0,10014,6.181,,PASS
CKT_0078,10,1000,5,44,26,22,503,100144,806310,0.425,0.981,6.259,False,1000,7.1,7.084,0.016,10014,6.259,,PASS
CKT_0079,10,1000,5,44,26,22,503,100144,806310,0.434,0.92,6.412,False,1000,3.3,3.3,0.0,10014,6.412,,PASS
CKT_0080,17,1000,5,44,26,22,517,101376,816306,0.41,0.93,11.181,False,1000,4.95,4.9311,0.0189,17021,11.181,,PASS
CKT_0081,17,1000,5,44,26,22,517,101376,816306,0.409,0.876,11.247,False,1000,4.7,4.7176,0.0176,17021,11.247,,PASS
CKT_0082,17,1000,5,44,26,22,517,101376,816306,0.522,0.98,11.126,False,1000,2.4,2.3987,0.0013,17021,11.126,,PASS
CKT_0083,17,1000,5,44,26,22,517,101376,816306,0.434,0.908,10.577,False,1000,15.0,14.9996,0.0004,17021,10.577,,PASS
CKT_0084,21,1050,5,44,26,22,525,102080,822018,0.514,0.987,13.6,False,1050,10.35,14.2707,3.9207,22075,13.6,,FAIL
CKT_0085,21,1050,5,44,26,22,525,102080,822018,0.381,0.852,13.408,False,1050,0.85,2.7688,1.9188,22075,13.408,,FAIL
CKT_0086,25,1250,5,44,26,22,533,102784,827730,0.502,0.966,18.597,False,1250,0.55,4.6575,4.1075,31279,18.597,,FAIL
CKT_0087,25,1250,5,44,26,22,533,102784,827730,0.386,0.859,20.027,False,1250,1.85,20.0725,18.2225,31279,20.027,,FAIL
CKT_0088,26,1300,5,44,26,22,535,102960,829158,0.484,0.957,21.789,False,1300,4.6,4.9738,0.3738,33830,21.789,,FAIL
CKT_0089,17,1000,5,44,26,22,517,101376,816306,0.382,0.929,10.954,False,1000,3.5,3.4927,0.0073,17021,10.954,,PASS
CKT_0090,19,1000,5,44,26,22,521,101728,819162,0.427,0.838,12.409,False,1000,4.6,4.9572,0.3572,19023,12.409,,FAIL
CKT_0091,17,1000,5,44,26,22,517,101376,816306,0.419,0.955,11.124,False,1000,13.4,13.3976,0.0024,17021,11.124,,PASS
CKT_0092,19,1000,5,44,26,22,521,101728,819162,0.418,0.885,12.287,False,1000,15.05,15.0485,0.0015,19023,12.287,,PASS
CKT_0093,17,1000,5,44,26,22,517,101376,816306,0.417,0.934,10.904,False,1000,0.3,10.8352,10.5352,17021,10.904,,FAIL
CKT_0094,10,1000,5,44,26,22,503,100144,806310,0.42,0.88,6.169,False,1000,4.15,4.1475,0.0025,10014,6.169,,PASS
CKT_0095,11,1000,5,44,26,22,505,100320,807738,0.5,0.97,7.066,False,1000,1.8,1.8,0.0,11015,7.066,,PASS
CKT_0096,10,1000,5,44,26,22,503,100144,806310,0.424,0.898,6.691,False,1000,11.3,11.3191,0.0191,10014,6.691,,PASS
CKT_0097,11,1000,5,44,26,22,505,100320,807738,0.495,0.96,7.12,False,1000,4.3,4.2758,0.0242,11015,7.12,,PASS
CKT_0098,10,1000,5,44,26,22,503,100144,806310,0.374,0.886,6.317,False,1000,9.2,9.202,0.002,10014,6.317,,PASS
CKT_0099,14,1000,5,44,26,22,511,100848,812022,0.425,0.899,9.074,False,1000,1.85,1.8308,0.0192,14018,9.074,,PASS
CKT_0100,14,1000,5,44,26,22,511,100848,812022,0.433,0.977,8.511,False,1000,5.0,5.0,0.0,14018,8.511,,PASS
CKT_0101,14,1000,5,44,26,22,511,100848,812022,0.431,0.914,8.675,False,1000,2.65,2.6478,0.0022,14018,8.675,,PASS
CKT_0102,14,1000,5,44,26,22,511,100848,812022,0.423,0.981,8.658,False,1000,10.85,10.8656,0.0156,14018,8.658,,PASS
CKT_0103,14,1000,5,44,26,22,511,100848,812022,0.414,0.879,8.9,False,1000,8.65,8.6457,0.0043,14018,8.9,,PASS
CKT_0104,22,1100,5,44,26,22,527,102256,823446,0.483,0.951,15.69,False,1100,15.0,15.0,0.0,24226,15.69,,PASS
CKT_0105,22,1100,5,44,26,22,527,102256,823446,0.419,0.885,16.211,False,1100,0.05,0.0601,0.0101,24226,16.211,,PASS
CKT_0106,22,1100,5,44,26,22,527,102256,823446,0.481,0.942,15.672,False,1100,11.8,11.7927,0.0073,24226,15.672,,PASS
CKT_0107,31,1550,5,44,26,22,545,103840,836298,0.417,0.951,31.373,False,1550,1.7,2.2513,0.5513,48085,31.373,,FAIL
CKT_0108,31,1550,5,44,26,22,545,103840,836298,0.419,0.849,28.985,False,1550,0.35,3.8495,3.4995,48085,28.985,,FAIL
CKT_0109,36,1800,5,44,26,22,555,104720,843438,0.464,0.936,42.58,False,1800,0.0,4.1397,4.1397,64840,42.58,,FAIL
CKT_0110,36,1800,5,44,26,22,555,104720,843438,0.423,0.915,42.187,False,1800,0.1,5.2916,5.1916,64840,42.187,,FAIL
CKT_0111,37,1850,5,44,26,22,557,104896,844866,0.512,0.992,44.202,False,1850,4.4,5.7196,1.3196,68491,44.202,,FAIL
CKT_0112,23,1150,5,44,26,22,529,102432,824874,0.443,1.012,17.106,False,1150,12.0,11.9984,0.0016,26477,17.106,,PASS
