circuit_id,complexity,N,rho_M,kappa_A,truth_V,pred_V_dsl,jacobi_ref_V,abs_error,jacobi_err,dsl_vs_jacobi,mode
CKT_0120,Hard,14,0.6499696056,1.227211e+01,3.4379,3.4500,3.4383,0.0121,,,PASS
CKT_0121,Hard,13,0.4961177794,1.650002e+02,1.188,1.1500,1.1893,0.0380,,,PASS
CKT_0122,Hard,18,0.9717578857,1.981935e+02,6.1243,5.3000,6.1175,0.8243,0.0068,0.8175,B_compound
CKT_0123,Hard,18,0.9826208595,3.772058e+05,0.497,0.4500,0.4958,0.0470,,,PASS
CKT_0124,Hard,18,0.9020329965,7.431499e+03,7.4091,7.2500,7.4082,0.1591,0.0009,0.1582,B_compound
CKT_0125,Hard,18,0.9979472059,6.716907e+03,9.3061,1.4500,7.7575,7.8561,1.5486,6.3075,A_non_convergent
CKT_0126,Hard,18,0.9951158524,7.106121e+03,12.6372,10.9000,12.6013,1.7372,0.0359,1.7013,B_compound
CKT_0127,Hard,27,0.8927087785,2.023126e+04,21.0205,21.0000,21.0188,0.0205,,,PASS
CKT_0128,Hard,27,0.9997145932,1.095775e+05,0.026,0.0500,0.0260,0.0240,,,PASS
CKT_0129,Hard,43,0.9996296297,9.896899e+04,8.8102,0.0000,5.6033,8.8102,3.2069,5.6033,A_non_convergent
CKT_0130,Hard,43,0.9996533539,1.681397e+05,23.6201,12.1500,20.7376,11.4701,2.8825,8.5876,A_non_convergent
CKT_0131,Hard,49,0.9991228187,2.803922e+05,14.0817,5.0000,12.4988,9.0817,1.5829,7.4988,A_non_convergent
CKT_0132,Hard,49,0.9999318559,1.113351e+05,7.9791,0.0000,0.9144,7.9791,7.0647,0.9144,A_non_convergent
CKT_0133,Hard,50,0.9999766408,3.967938e+05,6.976,0.0000,0.0026,6.9760,6.9734,0.0026,A_non_convergent
CKT_0134,Hard,29,0.9970812436,5.177032e+04,11.995,11.6000,11.9902,0.3950,0.0048,0.3902,B_compound
CKT_0135,Hard,31,0.9993948690,3.381479e+04,14.9694,14.9500,14.9693,0.0194,,,PASS
CKT_0136,Hard,29,0.9996441874,3.322043e+04,11.3129,0.0000,3.8569,11.3129,7.4560,3.8569,A_non_convergent
CKT_0137,Hard,31,0.9996617217,2.241899e+04,1.8463,1.5000,1.8407,0.3463,0.0056,0.3407,B_compound
CKT_0138,Hard,29,0.9995800794,8.073646e+03,11.7056,1.5500,6.4868,10.1556,5.2188,4.9368,A_non_convergent
CKT_0139,Hard,15,0.9273763640,3.888003e+03,3.3,3.3000,3.3000,0.0000,,,PASS
CKT_0140,Hard,16,0.6735635505,3.036921e+04,14.9813,14.9500,14.9810,0.0313,,,PASS
CKT_0141,Hard,15,0.9903994062,3.057105e+02,4.0347,4.0500,4.0360,0.0153,,,PASS
CKT_0142,Hard,16,0.8243295458,7.395062e+01,1.9138,1.9000,1.9133,0.0138,,,PASS
CKT_0143,Hard,15,0.8592514644,7.735699e+02,1.83,1.8500,1.8299,0.0200,,,PASS
CKT_0144,Hard,22,0.9900246318,8.672780e+04,9.281,9.2000,9.2762,0.0810,0.0048,0.0762,B_simple
CKT_0145,Hard,22,0.9974685688,8.357319e+02,7.6912,7.6500,7.6901,0.0412,,,PASS
CKT_0146,Hard,22,0.9714001818,6.158527e+03,6.7647,1.0500,6.7538,5.7147,0.0109,5.7038,B_compound
CKT_0147,Hard,22,0.9899522871,1.798929e+04,5.227,5.0000,5.2264,0.2270,0.0006,0.2264,B_compound
CKT_0148,Hard,22,0.9926536696,1.741975e+03,8.9632,8.9500,8.9632,0.0132,,,PASS
CKT_0149,Hard,10,0.9109313356,6.125481e+01,1.9826,1.9500,1.9829,0.0326,,,PASS
CKT_0150,Hard,10,0.7833670682,3.156607e+01,8.9991,9.0000,8.9992,0.0009,,,PASS
CKT_0151,Hard,14,0.9346288722,1.352038e+04,15.0,15.0000,15.0000,0.0000,,,PASS
CKT_0152,Hard,14,0.9960682409,7.924472e+02,3.5907,0.0000,3.5301,3.5907,0.0606,3.5301,A_non_convergent
CKT_0153,Hard,18,0.6625931623,4.842191e+03,3.4371,3.4500,3.4366,0.0129,,,PASS
CKT_0154,Hard,22,0.9557840471,1.519816e+04,13.3355,11.0500,13.3348,2.2855,0.0007,2.2848,B_compound
