circuit_id,complexity,N,T_used,V_STEP_V,pred_V_dsl,truth_V,abs_error,pass_fail,jacobi_ref_V,rho_M,kappa_A,seq_length,dsl_time_ms,error
CKT_0110,Hard,36,1800,0.05,0.0000,5.2916,5.2916,FAIL,0.1934,0.999959,2.0093e+05,129676,28711.7,
CKT_0111,Hard,37,1850,0.05,1.6500,5.7196,4.0696,FAIL,5.0856,0.999365,8.3281e+05,136978,30631.4,
CKT_0112,Hard,23,1150,0.05,11.8500,11.9984,0.1484,FAIL,11.9963,0.999862,2.5865e+04,52950,11490.2,
CKT_0113,Hard,25,1250,0.05,8.9500,8.995,0.0450,PASS,8.9913,0.999905,4.2590e+04,62554,14064.3,
CKT_0114,Hard,23,1150,0.05,5.0000,4.9991,0.0009,PASS,4.9990,0.968120,2.1437e+04,52950,11468.8,
CKT_0115,Hard,25,1250,0.05,16.4500,23.6344,7.1844,FAIL,22.1544,0.997402,2.5651e+05,62554,14005.6,
CKT_0116,Hard,23,1150,0.05,8.8000,8.8276,0.0276,PASS,8.8271,0.996926,4.8768e+03,52950,11482.9,
CKT_0117,Hard,13,1000,0.05,0.0500,0.0487,0.0013,PASS,0.0487,0.126208,1.6957e+01,26030,5455.1,
CKT_0118,Hard,14,1000,0.05,3.3000,3.3037,0.0037,PASS,3.3047,0.304435,2.4727e+01,28032,5908.1,
CKT_0119,Hard,13,1000,0.05,0.0000,0.0237,0.0237,PASS,0.0237,0.766500,1.0332e+02,26030,5529.6,
CKT_0120,Hard,14,1000,0.05,3.4500,3.4379,0.0121,PASS,3.4383,0.649970,1.2272e+01,28032,5921.2,
CKT_0121,Hard,13,1000,0.05,1.1500,1.188,0.0380,PASS,1.1893,0.496118,1.6500e+02,26030,5528.6,
CKT_0122,Hard,18,1000,0.05,5.3000,6.1243,0.8243,FAIL,6.1175,0.971758,1.9819e+02,36040,7739.0,
CKT_0123,Hard,18,1000,0.05,0.4500,0.497,0.0470,PASS,0.4958,0.982621,3.7721e+05,36040,7791.2,
CKT_0124,Hard,18,1000,0.05,7.2500,7.4091,0.1591,FAIL,7.4082,0.902033,7.4315e+03,36040,7942.4,
CKT_0125,Hard,18,1000,0.05,1.4500,9.3061,7.8561,FAIL,7.7575,0.997947,6.7169e+03,36040,7834.2,
CKT_0126,Hard,18,1000,0.05,10.9000,12.6372,1.7372,FAIL,12.6013,0.995116,7.1061e+03,36040,7749.9,
CKT_0127,Hard,27,1350,0.05,21.0000,21.0205,0.0205,PASS,21.0188,0.892709,2.0231e+04,72958,16100.3,
CKT_0128,Hard,27,1350,0.05,0.0500,0.026,0.0240,PASS,0.0260,0.999715,1.0958e+05,72958,16220.1,
CKT_0129,Hard,43,2150,0.05,0.0000,8.8102,8.8102,FAIL,5.6033,0.999630,9.8969e+04,184990,41816.1,
CKT_0130,Hard,43,2150,0.05,12.1500,23.6201,11.4701,FAIL,20.7376,0.999653,1.6814e+05,184990,42249.0,
CKT_0131,Hard,49,2450,0.05,5.0000,14.0817,9.0817,FAIL,12.4988,0.999123,2.8039e+05,240202,55048.3,
CKT_0132,Hard,49,2450,0.05,0.0000,7.9791,7.9791,FAIL,0.9144,0.999932,1.1134e+05,240202,54759.8,
CKT_0133,Hard,50,2500,0.05,0.0000,6.976,6.9760,FAIL,0.0026,0.999977,3.9679e+05,250104,56926.7,
CKT_0134,Hard,29,1450,0.05,11.6000,11.995,0.3950,FAIL,11.9902,0.997081,5.1770e+04,84162,18754.1,
CKT_0135,Hard,31,1550,0.05,14.9500,14.9694,0.0194,PASS,14.9693,0.999395,3.3815e+04,96166,21823.1,
CKT_0136,Hard,29,1450,0.05,0.0000,11.3129,11.3129,FAIL,3.8569,0.999644,3.3220e+04,84162,18949.6,
CKT_0137,Hard,31,1550,0.05,1.5000,1.8463,0.3463,FAIL,1.8407,0.999662,2.2419e+04,96166,21854.3,
CKT_0138,Hard,29,1450,0.05,1.5500,11.7056,10.1556,FAIL,6.4868,0.999580,8.0736e+03,84162,18788.7,
CKT_0139,Hard,15,1000,0.05,3.3000,3.3,0.0000,PASS,3.3000,0.927376,3.8880e+03,30034,6467.3,
CKT_0140,Hard,16,1000,0.05,14.9500,14.9813,0.0313,PASS,14.9810,0.673564,3.0369e+04,32036,6937.6,
CKT_0141,Hard,15,1000,0.05,4.0500,4.0347,0.0153,PASS,4.0360,0.990399,3.0571e+02,30034,6507.4,
CKT_0142,Hard,16,1000,0.05,1.9000,1.9138,0.0138,PASS,1.9133,0.824330,7.3951e+01,32036,6905.4,
CKT_0143,Hard,15,1000,0.05,1.8500,1.83,0.0200,PASS,1.8299,0.859251,7.7357e+02,30034,6530.4,
CKT_0144,Hard,22,1100,0.05,9.2000,9.281,0.0810,FAIL,9.2762,0.990025,8.6728e+04,48448,10644.7,
CKT_0145,Hard,22,1100,0.05,7.6500,7.6912,0.0412,PASS,7.6901,0.997469,8.3573e+02,48448,10578.2,
CKT_0146,Hard,22,1100,0.05,1.0500,6.7647,5.7147,FAIL,6.7538,0.971400,6.1585e+03,48448,10662.0,
CKT_0147,Hard,22,1100,0.05,5.0000,5.227,0.2270,FAIL,5.2264,0.989952,1.7989e+04,48448,10599.5,
CKT_0148,Hard,22,1100,0.05,8.9500,8.9632,0.0132,PASS,8.9632,0.992654,1.7420e+03,48448,10520.0,
CKT_0149,Hard,10,1000,0.05,1.9500,1.9826,0.0326,PASS,1.9829,0.910931,6.1255e+01,20024,4189.8,
CKT_0150,Hard,10,1000,0.05,9.0000,8.9991,0.0009,PASS,8.9992,0.783367,3.1566e+01,20024,4205.2,
CKT_0151,Hard,14,1000,0.05,15.0000,15.0,0.0000,PASS,15.0000,0.934629,1.3520e+04,28032,6005.5,
CKT_0152,Hard,14,1000,0.05,0.0000,3.5907,3.5907,FAIL,3.5301,0.996068,7.9245e+02,28032,5961.9,
CKT_0153,Hard,18,1000,0.05,3.4500,3.4371,0.0129,PASS,3.4366,0.662593,4.8422e+03,36040,7872.1,
CKT_0154,Hard,22,1100,0.05,11.0500,13.3355,2.2855,FAIL,13.3348,0.955784,1.5198e+04,48448,10693.5,
