circuit_id,complexity,N,num_resistors,num_fixed_nodes,T_used,pred_V_dsl,truth_V,abs_error,pass_fail,pred_V_transformer,transformer_matches_dsl,jacobi_ref_V,direct_solve_V,rho_M,kappa_A,seq_length,dsl_time_ms,transformer_time_ms,n_layers,d_model,d_ffn,vocab,model_size_bytes,error
CKT_0094,Hard,10,27,4,1000,4.0500,4.1475,0.0975,FAIL,,,4.1495,4.147471,0.7912468977,8.868054e+00,20024,5813.3,,5,36,20,504,589154,
CKT_0095,Hard,11,31,6,1000,1.8000,1.8,0.0000,PASS,,,1.8000,1.800000,0.9079651049,2.474417e+01,22026,5092.4,,5,36,20,506,590330,
CKT_0096,Hard,10,27,5,1000,10.4500,11.3191,0.8691,FAIL,,,11.2867,11.319118,0.9842894535,1.920689e+02,20024,4722.4,,5,36,20,504,589154,
CKT_0097,Hard,11,31,4,1000,4.3000,4.2758,0.0242,PASS,,,4.2771,4.275825,0.7345179784,3.842314e+02,22026,5223.9,,5,36,20,506,590330,
CKT_0098,Hard,10,27,6,1000,9.1500,9.202,0.0520,FAIL,,,9.2020,9.201960,0.8299583557,1.133050e+04,20024,4638.8,,5,36,20,504,589154,
CKT_0099,Hard,14,30,4,1000,1.7500,1.8308,0.0808,FAIL,,,1.8290,1.830848,0.9129586609,6.480877e+02,28032,6547.5,,5,36,20,512,593858,
CKT_0100,Hard,14,30,6,1000,5.0000,5.0,0.0000,PASS,,,5.0000,5.000000,0.9723412695,9.253579e+01,28032,6829.4,,5,36,20,512,593858,
CKT_0101,Hard,14,30,5,1000,1.8500,2.6478,0.7978,FAIL,,,2.6446,2.647807,0.9813483304,1.163169e+02,28032,7436.5,,5,36,20,512,593858,
CKT_0102,Hard,14,30,6,1000,10.8500,10.8656,0.0156,PASS,,,10.8638,10.865595,0.4049496700,3.107506e+02,28032,8446.8,,5,36,20,512,593858,
CKT_0103,Hard,14,30,6,1000,8.6000,8.6457,0.0457,PASS,,,8.6453,8.645672,0.9218220146,1.243160e+04,28032,8563.9,,5,36,20,512,593858,
CKT_0104,Hard,22,40,4,1100,15.0000,15.0,0.0000,PASS,,,15.0000,15.000000,0.8568983343,3.025491e+03,48448,11833.6,,5,36,20,528,603266,
CKT_0105,Hard,22,40,6,1100,0.0000,0.0601,0.0601,FAIL,,,0.0598,0.060145,0.7878807969,1.386173e+04,48448,11590.7,,5,36,20,528,603266,
CKT_0106,Hard,22,40,5,1100,11.8000,11.7927,0.0073,PASS,,,11.7931,11.792714,0.8683531874,2.607035e+04,48448,11574.6,,5,36,20,528,603266,
CKT_0107,Hard,31,50,4,1550,0.0000,2.2513,2.2513,FAIL,,,2.1511,2.251252,0.9975290789,1.918268e+03,96166,23123.6,,5,36,20,546,613850,
CKT_0108,Hard,31,50,4,1550,0.0000,3.8495,3.8495,FAIL,,,0.7525,3.849540,0.9997949396,2.375255e+04,96166,25944.1,,5,36,20,546,613850,
CKT_0109,Hard,36,59,6,1800,0.0000,4.1397,4.1397,FAIL,,,0.0000,4.139676,0.9999804813,1.976478e+05,129676,34234.0,,5,36,20,556,619730,
CKT_0110,Hard,36,59,5,1800,0.0000,5.2916,5.2916,FAIL,,,0.1934,5.291573,0.9999587312,2.009273e+05,129676,32349.5,,5,36,20,556,619730,
CKT_0111,Hard,37,61,4,1850,1.6500,5.7196,4.0696,FAIL,,,5.0856,5.719644,0.9993652838,8.328094e+05,136978,35373.1,,5,36,20,558,620906,
CKT_0112,Hard,23,40,4,1150,11.8500,11.9984,0.1484,FAIL,,,11.9963,11.998443,0.9998620247,2.586530e+04,52950,12438.8,,5,36,20,530,604442,
CKT_0113,Hard,25,43,4,1250,8.9500,8.995,0.0450,PASS,,,8.9913,8.994966,0.9999050617,4.258990e+04,62554,14369.0,,5,36,20,534,606794,
CKT_0114,Hard,23,37,6,1150,5.0000,4.9991,0.0009,PASS,,,4.9990,4.999086,0.9681197005,2.143724e+04,52950,12157.5,,5,36,20,530,604442,
CKT_0115,Hard,25,43,4,1250,16.4500,23.6344,7.1844,FAIL,,,22.1544,23.634363,0.9974024832,2.565103e+05,62554,14083.9,,5,36,20,534,606794,
CKT_0116,Hard,23,36,4,1150,8.8000,8.8276,0.0276,PASS,,,8.8271,8.827582,0.9969258834,4.876798e+03,52950,11987.5,,5,36,20,530,604442,
