circuit_id,complexity,N,n_free,n_fixed,T1_build_s,T1_infer_s,T2_build_s,T2_infer_s,T2_n_tokens,T1_n_layers,T1_d_model,T1_n_params,T2_n_layers,T2_d_model,T2_n_params,pred_v,truth_v,abs_err_v,pass_50mv,pass_75mv,status,error
CKT_0069,Hard,11,7,4,1.7154,1.7961,0.3278,0.0214,26,3,82,136120,4,48,100608,6.7,6.7311,0.0311,PASS,PASS,OK,
CKT_0070,Hard,7,4,3,1.5773,1.7561,0.292,0.0158,18,3,46,43240,4,48,100608,0.0,0.0221,0.0221,PASS,PASS,OK,
CKT_0071,Hard,8,5,3,1.6302,1.7712,0.2919,0.0169,20,3,58,68440,4,48,100608,9.0,9.0,0.0,PASS,PASS,OK,
CKT_0072,Hard,7,2,5,1.5037,1.7217,0.323,0.0155,18,3,26,13208,4,48,100608,1.8,1.8,0.0,PASS,PASS,OK,
CKT_0073,Hard,8,5,3,1.6437,1.7658,0.3614,0.0174,20,3,58,68440,4,48,100608,1.8,1.8238,0.0238,PASS,PASS,OK,
CKT_0074,Hard,7,3,4,1.5494,1.7383,0.3297,0.0182,18,3,34,23800,4,48,100608,3.3,3.3,0.0,PASS,PASS,OK,
CKT_0075,Hard,10,7,3,1.727,1.7835,0.2917,0.0234,24,3,82,136120,4,48,100608,7.1,7.1181,0.0181,PASS,PASS,OK,
CKT_0076,Hard,10,7,3,1.7145,1.8057,0.2927,0.02,24,3,82,136120,4,48,100608,0.9,0.906,0.006,PASS,PASS,OK,
CKT_0077,Hard,10,7,3,1.7176,1.8287,0.351,0.0233,24,3,82,136120,4,48,100608,9.0,9.0,0.0,PASS,PASS,OK,
CKT_0078,Hard,10,5,5,1.6153,1.8266,0.3344,0.0203,24,3,58,68440,4,48,100608,7.1,7.084,0.016,PASS,PASS,OK,
CKT_0079,Hard,10,5,5,1.633,1.7831,0.2887,0.0201,24,3,58,68440,4,48,100608,3.3,3.3,0.0,PASS,PASS,OK,
CKT_0080,Hard,17,12,5,1.9319,1.9691,0.3608,0.0305,38,3,142,406120,4,48,100608,4.95,4.9311,0.0189,PASS,PASS,OK,
